Sample ID,Organism ID,Host species,Host species NCBI tax ID,Latitude,Longitude,Spatial uncertainty,Collection day,Collection month,Collection year,Collection method or tissue,Detection method,Detection target,Detection target NCBI tax ID,Detection outcome,Detection measurement,Detection measurement units,Pathogen,Pathogen NCBI tax id,Organism sex,Dead or alive,Health notes,Life stage,Age,Mass,Length
1_LAL_017,1_LAL_017,Mus setulosus,10102,-11.0794,8.19645,10,6,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,positive,1.5,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.013,0.073
1_LAL_018,1_LAL_018,Lophuromys sikapusi,83535,-11.079283333333333,8.1988,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.44141689373297,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.067,0.133
1_LAL_019,1_LAL_019,Lophuromys sikapusi,83535,-11.079283333333333,8.198716666666666,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.32697547683923706,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.073,0.132
1_LAL_020,1_LAL_020,Crocidura grandiceps,148971,-11.078833333333334,8.198783333333333,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.343324250681199,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.013,0.089
1_LAL_021,1_LAL_021,Crocidura olivieri,214449,-11.080316666666667,8.199316666666666,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.5722070844686649,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.025,0.117
1_LAL_022,1_LAL_022,Crocidura theresae,361457,-11.080166666666667,8.198433333333334,10,4,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.0490463215258856,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.013,0.088
1_SEI_001,1_SEI_001,Praomys rostratus,476587,-11.19795,8.1237,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.4619883040935672,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.042,0.113
1_SEI_002,1_SEI_002,Mus setulosus,10102,-11.1923,8.12225,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.16374269005847952,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.01,0.071
1_SEI_003,1_SEI_003,Lophuromys sikapusi,83535,-11.192233333333334,8.1227,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1929824561403509,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.065,0.13
1_SEI_004,1_SEI_004,Lophuromys sikapusi,83535,-11.19415,8.123433333333333,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.3797468354430379,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.074,0.125
1_SEI_005,1_SEI_005,Praomys rostratus,476587,-11.19475,8.12405,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.11111111111111122,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.053,0.125
1_SEI_007,1_SEI_007,Crocidura olivieri,214449,-11.194216666666666,8.120533333333332,10,5,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2982456140350877,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.024,0.106
1_SEI_010,1_SEI_010,Crocidura olivieri,214449,-11.1922,8.1228,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.033,0.114
1_SEI_012,1_SEI_012,Lemniscomys striatus,121567,-11.194366666666667,8.124,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.01,0.073
1_SEI_013,1_SEI_013,Crocidura olivieri,214449,-11.1945,8.124,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.019,0.098
1_SEI_014,1_SEI_014,Praomys rostratus,476587,-11.1947,8.12405,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.043,0.105
1_SEI_015,1_SEI_015,Praomys rostratus,476587,-11.19465,8.12415,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.045,0.118
1_SEI_017,1_SEI_017,Crocidura olivieri,214449,-11.194183333333333,8.120566666666667,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.035,0.113
1_SEI_018,1_SEI_018,Gerbilliscus guineae,410300,-11.194633333333334,8.120566666666667,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.18,0.174
1_SEI_022,1_SEI_022,Praomys rostratus,476587,-11.197916666666666,8.123833333333334,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.047,0.117
1_SEI_023,1_SEI_023,Malacomys edwardsi,333388,-11.19775,8.12375,10,7,12,2020,blood,NA,NA,NA,NA,NA,NA,NA,NA,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.063,0.113
1_SEI_028,1_SEI_028,Lophuromys sikapusi,83535,-11.194216666666666,8.122916666666667,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2865497076023393,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.06,0.123
1_SEI_029,1_SEI_029,Mastomys natalensis,10112,-11.194266666666667,8.123266666666666,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.23391812865497083,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.058,0.122
1_SEI_030,1_SEI_030,Hylomyscus simus,337584,-11.194133333333333,8.123533333333333,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.23391812865497078,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.013,0.078
1_SEI_031,1_SEI_031,Lophuromys sikapusi,83535,-11.19435,8.12075,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.29824561403508776,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.063,0.127
1_SEI_032,1_SEI_032,Lophuromys sikapusi,83535,-11.194433333333333,8.120516666666667,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.6198830409356726,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.058,0.124
1_SEI_033,1_SEI_033,Praomys rostratus,476587,-11.1938,8.120716666666667,10,9,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1988304093567252,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.024,0.098
1_SEI_036,1_SEI_036,Mastomys natalensis,10112,-11.19215,8.122083333333334,10,11,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.18128654970760244,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.039,0.113
1_SEI_038,1_SEI_038,Crocidura olivieri,214449,-11.194183333333333,8.120566666666667,10,11,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.3450292397660819,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,unknown,NA,0.029,0.121
1_SEI_039,1_SEI_039,Praomys rostratus,476587,-11.193716666666667,8.120783333333334,10,11,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1754385964912281,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.043,0.113
1_SEI_041,1_SEI_041,Crocidura buettikoferi,214466,-11.193783333333334,8.122983333333334,10,12,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15204678362573099,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.015,0.093
1_SEI_043,1_SEI_043,Mastomys natalensis,10112,-11.193983333333334,8.12215,10,12,12,2020,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.18713450292397663,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.038,0.116
2_LAL_001,2_LAL_001,Crocidura olivieri,214449,-11.0781,8.194466666666667,10,1,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.09809264305177114,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.02,0.11
2_LAL_005,2_LAL_005,Crocidura olivieri,214449,-11.0803,8.199233333333334,10,3,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2125340599455041,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.021,0.115
2_LAL_009,2_LAL_009,Crocidura grandiceps,148971,-11.0791,8.198716666666666,10,7,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.10354223433242508,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.011,0.084
2_LAL_014,2_LAL_014,Mus setulosus,10102,-11.078333333333333,8.194466666666667,10,7,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.09809264305177116,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.006,0.055
2_LAL_015,2_LAL_015,Mus setulosus,10102,-11.080166666666667,8.19395,10,7,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.08719346049046321,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.015,0.08
2_LAL_016,2_LAL_016,Rattus rattus,10117,-11.081016666666667,8.197715,10,7,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15803814713896464,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.06,0.145
2_SEI_001,2_SEI_001,Mus setulosus,10102,-11.192543333333333,8.122465,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1754385964912281,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.012,0.074
2_SEI_003,2_SEI_003,Rattus rattus,10117,-11.193775,8.122558333333334,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.21637426900584797,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.075,0.16
2_SEI_005,2_SEI_005,Mastomys natalensis,10112,-11.193606666666666,8.122768333333333,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2573099415204678,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.052,0.111
2_SEI_006,2_SEI_006,Crocidura olivieri,214449,-11.193553333333334,8.122383333333334,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1695906432748538,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.066,0.13
2_SEI_010,2_SEI_010,Praomys rostratus,476587,-11.194483333333334,8.1229,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.35672514619883033,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.046,0.117
2_SEI_012,2_SEI_012,Praomys rostratus,476587,-11.19415,8.12325,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.20467836257309946,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.025,0.099
2_SEI_015,2_SEI_015,Mastomys natalensis,10112,-11.194316666666667,8.123916666666666,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.20467836257309946,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.052,0.13
2_SEI_016,2_SEI_016,Mastomys natalensis,10112,-11.194416666666667,8.12385,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.14619883040935674,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.048,0.109
2_SEI_017,2_SEI_017,Mastomys natalensis,10112,-11.19455,8.124083333333333,10,12,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.16959064327485388,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.035,0.115
2_SEI_018,2_SEI_018,Mastomys natalensis,10112,-11.194633333333334,8.124083333333333,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1988304093567252,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.04,0.105
2_SEI_019,2_SEI_019,Mastomys erythroleucus,41268,-11.194683333333334,8.124283333333333,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15789473684210525,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.065,0.125
2_SEI_023,2_SEI_023,Praomys rostratus,476587,-11.19775,8.1238,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.25146198830409355,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.039,0.11
2_SEI_024,2_SEI_024,Mus setulosus,10102,-11.192016666666667,8.122331666666666,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1929824561403509,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.011,0.07
2_SEI_026,2_SEI_026,Praomys rostratus,476587,-11.19225,8.122358333333333,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.4152046783625732,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.058,0.125
2_SEI_027,2_SEI_027,Mus setulosus,10102,-11.192275,8.122515,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15204678362573099,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.035,0.104
2_SEI_028,2_SEI_028,Mus setulosus,10102,-11.192583333333333,8.122045,10,14,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.18128654970760236,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.009,0.068
2_SEI_034,2_SEI_034,Lemniscomys striatus,121567,-11.194333333333333,8.120416666666667,10,16,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.26900584795321647,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.045,0.117
2_SEI_036,2_SEI_036,Crocidura buettikoferi,214466,-11.194333333333333,8.1229,10,16,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2163742690058479,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.012,0.094
2_SEI_038,2_SEI_038,Mastomys natalensis,10112,-11.194033333333334,8.123366666666668,10,16,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.14619883040935672,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.033,0.103
2_SEI_039,2_SEI_039,Mastomys natalensis,10112,-11.194533333333334,8.124183333333333,10,16,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.8654970760233919,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.056,0.125
2_SEI_041,2_SEI_041,Praomys rostratus,476587,-11.197816666666666,8.123966666666666,10,16,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.15789473684210525,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.04,0.109
2_SEI_047,2_SEI_047,Lophuromys sikapusi,83535,-11.194316666666667,8.120766666666666,10,18,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.47058823529411764,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.06,0.13
2_SEI_048,2_SEI_048,Lophuromys sikapusi,83535,-11.194266666666667,8.120716666666667,10,18,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.5221518987341773,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.06,0.125
2_SEI_053,2_SEI_053,Hybomys planifrons,2107262,-11.197816666666666,8.123566666666667,10,18,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.7529411764705883,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.046,0.12
2_SEI_054,2_SEI_054,Praomys rostratus,476587,-11.197916666666666,8.12385,10,18,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.17058823529411765,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.045,0.12
2_SEI_055,2_SEI_055,Crocidura buettikoferi,214466,-11.19775,8.1238,10,18,4,2021,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.2588235294117648,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.02,0.104
6_SEI_005,6_SEI_005,Praomys rostratus,476587,-11.192450000000001,8.12205,10,18,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.07258064516129034,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.031,0.11
6_SEI_004,6_SEI_004,Praomys rostratus,476587,-11.197766666666666,8.123683333333334,10,17,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.1149193548387097,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.017,0.089
6_SEI_003,6_SEI_003,Malacomys edwardsi,333388,-11.19365,8.12095,10,17,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.29637096774193555,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.061,0.139
6_SEI_008,6_SEI_008,Praomys rostratus,476587,-11.1977,8.123833333333334,10,18,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.05443548387096771,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.035,0.115
6_SEI_007,6_SEI_007,Malacomys edwardsi,333388,-11.198133333333333,8.12375,10,18,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.09072580645161299,Optical density 450 - 630,Lassa mammarenavirus,3052310,female,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.031,0.115
6_SEI_006,6_SEI_006,Praomys rostratus,476587,-11.192483333333334,8.122283333333334,10,18,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.07258064516129038,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,juvenile,NA,0.01,0.075
6_LAL_015,6_LAL_015,Hylomyscus simus,337584,-11.079533333333334,8.19685,10,15,4,2022,blood,ELISA - antibody,Lassa mammarenavirus,3052310,negative,0.11695906432748542,Optical density 450 - 630,Lassa mammarenavirus,3052310,male,alive,Length refers to head-body length of trapped rodents and shrews,adult,NA,0.013,0.079
